Nicolás Guillén Alberdi
Heliodoro Cerdán-Costa
Paola Encarnación Nicolau Lloret
Francisco Jose de Cabeza
Bernarda Gómez Figueras
Susana Castells Vilar
Hipólito Quirino Ariño Acosta
Marianela del Alemán
Manu Ávila Macías
Bartolomé Peñas Morán
Albert Muñoz Diez
Plinio José Antonio Lerma Naranjo
Luis Ángel Sergio Benavides Moll
Pili Santos Lago
Tomás Barroso Arce
Gertrudis Renata Carlos Corral
Pelayo del Morante
Primitiva Berrocal Mármol
Clotilde Rincón Viñas
Lara Romero Fuente
Yaiza Pedrero Téllez
Felipe Benavente-Ríos
Mamen Calvo Requena
Aránzazu Mur Barrena
Adolfo Puerta Enríquez
Marcio Mendizábal
Pánfilo Piñol-Gallego
Gabriela Iborra Valera
Fabricio Román Río
Zoraida Frías Calatayud
Malena de Mateu
Yago Segura
Sabas del Bermudez
Carlos Blanca Seco
Seve Flavio Vera Ribera
Miguel Ángel Manuel Miranda Poza
Rosenda Arco
Bibiana Malo-Asensio
Alma Espada-Ariño
Gabriel Cánovas Ríos
Sergio Villa
Loida Quiroga Simó
Roberto Guillen Cózar
Marciano Correa Tamayo
Ricarda Juliá Barriga
Lino Rosselló Barrio
Cesar Cosme Miguel Roldán
Samanta de Porras
Zacarías Macías
Isidoro Medina
Lalo Prada Espinosa
Celia Gomila Villalba
Bonifacio Gimenez Elorza
Asdrubal Téllez Duarte
Álvaro Almansa Costa
Gervasio Asensio Ferreras
Quirino Sanmiguel-Agullo
Guiomar Gárate Rocamora
Leonardo Pedrosa-Hurtado
Teresa Barrio Aroca
Marta Vilaplana
Danilo Lledó
Narciso Recio Expósito
Florina Burgos Marqués
Lucio Morán Pinedo
Toño Garay Alfonso
Lupita Céspedes Chaparro
Osvaldo Campo Moreno
Maura Vélez
María Pilar Fajardo Alba
Isabela Clemente Sáez
Rosa María Sabater Silva
Hugo Varela Olivares
Pepita Cazorla Solana
Galo Márquez Murillo
Emilia Ferrández Pera
María Teresa Gracia Ortega
Angelina Salcedo Cobos
Jose Luis Calderon Barceló
María Dolores Sevilla Arroyo
Eufemia Manso Bustos
Beatriz Gisbert Barón
Eutimio Casals Tomás
Lucía Piñeiro Corbacho
Abilio Natalio Almagro Silva
Alejandra Mosquera-Palacios
Elba Arnau Gutiérrez
Benigno Barragán Menendez
Fabiola Arrieta Salvà
Juan Carlos Bernardino Rebollo Escribano
Eligia Jenny Laguna Bayón
